127.0.0.1 - - [20/Nov/2014:11:21:25 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:29 +0530] "GET /vision/user/jsp%20files/index/index.jsp HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:30 +0530] "GET /vision/user/js%20files/slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:30 +0530] "GET /vision/user/css%20files/slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:31 +0530] "GET /vision/user/images/slider/DSC02654-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:31 +0530] "GET /vision/user/images/slider/DSC01672-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:31 +0530] "GET /vision/user/images/slider/DSC02647-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:31 +0530] "GET /vision/user/images/slider/DSC00779-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:31 +0530] "GET /vision/user/images/slider/DSC00619-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:31 +0530] "GET /vision/user/images/slider/DSC00792-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:31 +0530] "GET /vision/user/images/slider/DSC00780-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:31 +0530] "GET /vision/user/images/slider/DSC00834-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:31 +0530] "GET /vision/user/images/slider/DSC00804-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:31 +0530] "GET /vision/user/images/slider/DSC01215-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:31 +0530] "GET /vision/user/images/slider/DSC02603-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:31 +0530] "GET /vision/user/images/slider/DSC_1164-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:31 +0530] "GET /vision/user/images/slider/DSC02639-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:32 +0530] "GET /vision/user/css%20files/images/slider/loading.gif HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:32 +0530] "GET /vision/user/images/background/parquet_flooring-1920x1200.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:32 +0530] "GET /vision/user/images/slider/bullet.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:44 +0530] "GET /vision/user/jsp%20files/index/index.jsp HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:44 +0530] "GET /vision/user/css%20files/slider.css HTTP/1.1" 200 2740
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:44 +0530] "GET /vision/user/js%20files/slider.js HTTP/1.1" 200 15282
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:44 +0530] "GET /vision/user/images/slider/DSC02654-qpr.jpg HTTP/1.1" 200 77814
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:44 +0530] "GET /vision/user/images/slider/DSC00779-qpr.jpg HTTP/1.1" 200 55305
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:44 +0530] "GET /vision/user/images/slider/DSC00780-qpr.jpg HTTP/1.1" 200 82286
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:44 +0530] "GET /vision/user/images/slider/DSC00619-qpr.jpg HTTP/1.1" 200 96450
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:44 +0530] "GET /vision/user/images/slider/DSC02647-qpr.jpg HTTP/1.1" 200 130388
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:44 +0530] "GET /vision/user/css%20files/images/slider/loading.gif HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:44 +0530] "GET /vision/user/images/slider/DSC00792-qpr.jpg HTTP/1.1" 200 118435
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:44 +0530] "GET /vision/user/images/slider/DSC01672-qpr.jpg HTTP/1.1" 200 198312
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:45 +0530] "GET /vision/user/images/slider/DSC00834-qpr.jpg HTTP/1.1" 200 67695
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:45 +0530] "GET /vision/user/images/slider/DSC00804-qpr.jpg HTTP/1.1" 200 102177
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:45 +0530] "GET /vision/user/images/slider/DSC01215-qpr.jpg HTTP/1.1" 200 67726
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:45 +0530] "GET /vision/user/images/slider/DSC02603-qpr.jpg HTTP/1.1" 200 75238
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:45 +0530] "GET /vision/user/images/slider/DSC_1164-qpr.jpg HTTP/1.1" 200 138940
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:45 +0530] "GET /vision/user/images/slider/DSC02639-qpr.jpg HTTP/1.1" 200 92059
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:45 +0530] "GET /vision/user/images/background/parquet_flooring-1920x1200.jpg HTTP/1.1" 200 455596
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:45 +0530] "GET /vision/user/images/slider/bullet.png HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:45 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:45 +0530] "GET /vision/user/jsp%20files/index/login_signup.jsp HTTP/1.1" 200 5169
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:46 +0530] "GET /vision/user/js%20files/user_login.js HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [20/Nov/2014:11:21:46 +0530] "GET /vision/user/images/loginform/password.png HTTP/1.1" 200 668
